video_id,analysis_json,projection,gate_spacing_m,camera_pitch_deg,p90_speed_kmh,median_speed_kmh,raw_correction_factor,auto_applied,unable_to_calibrate,reason,n_dynamic_frames
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,10.0,30.0,4090.7700811835707,163.48791504947653,74.37763783970128,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,12.0,0.0,4065.714861547457,170.18028499504226,73.92208839177195,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,12.0,10.0,4065.714861547457,170.18028499504226,73.92208839177195,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,12.0,20.0,4065.714861547457,170.18028499504226,73.92208839177195,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,12.0,30.0,4065.714861547457,170.18028499504226,73.92208839177195,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,14.0,0.0,4208.340845704145,176.49679085128335,76.51528810371173,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,14.0,10.0,4208.340845704145,176.49679085128335,76.51528810371173,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,14.0,20.0,4208.340845704145,176.49679085128335,76.51528810371173,False,True,correction_exceeds_cap,497
2907,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2907_1765738705(Video in Original Quality)_analysis.json,homography,14.0,30.0,4208.340845704145,176.49679085128335,76.51528810371173,False,True,correction_exceeds_cap,497
2909,/Users/quan/Documents/personal/Stanford application project/artifacts/regression_20260214/new_model/2909_1765738725(Video in Original Quality)_analysis.json,scale,8.0,0.0,414.5510206586598,70.61032956792259,7.537291284702905,False,True,correction_exceeds_cap,454
